,Demographic,DBN,School Name,Cohort Year,Total Cohort,Total Grads #,Total Grads %,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropout #,Dropout %,Grad Year,fiscal_year,system_code,location_code,location_name,BEDS,Managed_by_name,location_type_description,Location_Category_Description,Grades_text,Grades_final_text,open_date,Status_descriptions,Primary_building_code,primary_address_line_1,State_code,X_COORDINATE,Y_COORDINATE,LONGITUDE,LATITUDE,Community_district,Council-district,Census_tract,Borough_block_lot,NTA,NTA_Name,Principal_Name,Principal_title,Principal_phone_number,fax_number,Geographical_District_code,Administrative_District_Code,Administrative_District_Name,community_school_sup_name,Tier_3_Support_Location_Name,Tier_3_Support_Leader_Name,Tier_2_Support_Location_Name,HighSchool_Network_Location_Code,HighSchool_Network_Name,HighSchool_Network_Superintendent,Community_district 1,Police_precinct,Closest LIU Distance,Num of LIU Near,Distance From HFL,Closest HFV,borough
498,Total Cohort,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,2004,88,65,73.9,37,42.0,56.9,0,0.0,0.0,37,42.0,56.9,28,31.8,43.1,15,17.0,3,3.4,2008,2020,05M670,M670,Thurgood Marshall Academy for Learning and Social,310500011670,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","07,08,09,10,11,12",1999-07-01T00:00:00.000,Open,M970,200-214 WEST 135TH STREET,NY,999668.0,236295.0,-73.944299,40.815236999999996,110.0,9.0,22800.0,1019400035.0,MN03,Central Harlem North-Polo Grounds,MAJOR FAREED,Principal,212-283-8055,212-283-8109,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Citywide Office - Affinity Schools,,School Support Team 3- Affinity Group,,,,110.0,32.0,0.025391450853978727,3960,0.04770909096538342,2278 DELI AND GROCERY INC,Manhattan
499,Total Cohort,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,2005,99,87,87.9,61,61.6,70.1,7,7.1,8.0,54,54.5,62.1,26,26.3,29.9,8,8.1,2,2.0,2009,2020,05M670,M670,Thurgood Marshall Academy for Learning and Social,310500011670,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","07,08,09,10,11,12",1999-07-01T00:00:00.000,Open,M970,200-214 WEST 135TH STREET,NY,999668.0,236295.0,-73.944299,40.815236999999996,110.0,9.0,22800.0,1019400035.0,MN03,Central Harlem North-Polo Grounds,MAJOR FAREED,Principal,212-283-8055,212-283-8109,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Citywide Office - Affinity Schools,,School Support Team 3- Affinity Group,,,,110.0,32.0,0.025391450853978727,3960,0.04770909096538342,2278 DELI AND GROCERY INC,Manhattan
500,Total Cohort,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,2006,95,65,68.4,56,58.9,86.2,1,1.1,1.5,55,57.9,84.6,9,9.5,13.8,17,17.9,10,10.5,2010,2020,05M670,M670,Thurgood Marshall Academy for Learning and Social,310500011670,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","07,08,09,10,11,12",1999-07-01T00:00:00.000,Open,M970,200-214 WEST 135TH STREET,NY,999668.0,236295.0,-73.944299,40.815236999999996,110.0,9.0,22800.0,1019400035.0,MN03,Central Harlem North-Polo Grounds,MAJOR FAREED,Principal,212-283-8055,212-283-8109,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Citywide Office - Affinity Schools,,School Support Team 3- Affinity Group,,,,110.0,32.0,0.025391450853978727,3960,0.04770909096538342,2278 DELI AND GROCERY INC,Manhattan
501,Total Cohort,05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2001,72,42,58.3,28,38.9,66.7,0,0.0,0.0,28,38.9,66.7,14,19.4,33.3,21,29.2,6,8.3,2005,2020,05M685,M685,Bread & Roses Integrated Arts High School,310500011685,DOE,General Academic,High school,"10,12,SE","09,10,11,12",1997-04-29T00:00:00.000,Closed,M136,6 EDGECOMBE AVENUE,NY,998878.0,237020.0,-73.947151,40.817228,110.0,9.0,22102.0,1019600001.0,MN03,Central Harlem North-Polo Grounds,Kairis Cox,I.A. PRINCIPAL,212-694-6001,212-926-4317,5,5,,,,,,HS07,H.S. Network 07 Superintendent Office,"CONYERS, DONALD",110.0,32.0,0.053565324718553846,3426,0.1182631994798989,135TH STREET DELI AND GROCERY CORP,Manhattan
502,Total Cohort,05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2002,73,37,50.7,27,37.0,73.0,0,0.0,0.0,27,37.0,73.0,10,13.7,27.0,23,31.5,12,16.4,2006,2020,05M685,M685,Bread & Roses Integrated Arts High School,310500011685,DOE,General Academic,High school,"10,12,SE","09,10,11,12",1997-04-29T00:00:00.000,Closed,M136,6 EDGECOMBE AVENUE,NY,998878.0,237020.0,-73.947151,40.817228,110.0,9.0,22102.0,1019600001.0,MN03,Central Harlem North-Polo Grounds,Kairis Cox,I.A. PRINCIPAL,212-694-6001,212-926-4317,5,5,,,,,,HS07,H.S. Network 07 Superintendent Office,"CONYERS, DONALD",110.0,32.0,0.053565324718553846,3426,0.1182631994798989,135TH STREET DELI AND GROCERY CORP,Manhattan
503,Total Cohort,05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2003,91,39,42.9,22,24.2,56.4,0,0.0,0.0,22,24.2,56.4,17,18.7,43.6,22,24.2,21,23.1,2007,2020,05M685,M685,Bread & Roses Integrated Arts High School,310500011685,DOE,General Academic,High school,"10,12,SE","09,10,11,12",1997-04-29T00:00:00.000,Closed,M136,6 EDGECOMBE AVENUE,NY,998878.0,237020.0,-73.947151,40.817228,110.0,9.0,22102.0,1019600001.0,MN03,Central Harlem North-Polo Grounds,Kairis Cox,I.A. PRINCIPAL,212-694-6001,212-926-4317,5,5,,,,,,HS07,H.S. Network 07 Superintendent Office,"CONYERS, DONALD",110.0,32.0,0.053565324718553846,3426,0.1182631994798989,135TH STREET DELI AND GROCERY CORP,Manhattan
504,Total Cohort,05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2004,91,43,47.3,29,31.9,67.4,0,0.0,0.0,29,31.9,67.4,14,15.4,32.6,32,35.20000000000001,14,15.4,2008,2020,05M685,M685,Bread & Roses Integrated Arts High School,310500011685,DOE,General Academic,High school,"10,12,SE","09,10,11,12",1997-04-29T00:00:00.000,Closed,M136,6 EDGECOMBE AVENUE,NY,998878.0,237020.0,-73.947151,40.817228,110.0,9.0,22102.0,1019600001.0,MN03,Central Harlem North-Polo Grounds,Kairis Cox,I.A. PRINCIPAL,212-694-6001,212-926-4317,5,5,,,,,,HS07,H.S. Network 07 Superintendent Office,"CONYERS, DONALD",110.0,32.0,0.053565324718553846,3426,0.1182631994798989,135TH STREET DELI AND GROCERY CORP,Manhattan
505,Total Cohort,05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2005,135,77,57.0,61,45.2,79.2,3,2.2,3.9,58,43.0,75.3,16,11.9,20.8,40,29.6,13,9.6,2009,2020,05M685,M685,Bread & Roses Integrated Arts High School,310500011685,DOE,General Academic,High school,"10,12,SE","09,10,11,12",1997-04-29T00:00:00.000,Closed,M136,6 EDGECOMBE AVENUE,NY,998878.0,237020.0,-73.947151,40.817228,110.0,9.0,22102.0,1019600001.0,MN03,Central Harlem North-Polo Grounds,Kairis Cox,I.A. PRINCIPAL,212-694-6001,212-926-4317,5,5,,,,,,HS07,H.S. Network 07 Superintendent Office,"CONYERS, DONALD",110.0,32.0,0.053565324718553846,3426,0.1182631994798989,135TH STREET DELI AND GROCERY CORP,Manhattan
506,Total Cohort,05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2006,121,45,37.2,26,21.5,57.8,0,0.0,0.0,26,21.5,57.8,19,15.7,42.2,41,33.9,22,18.2,2010,2020,05M685,M685,Bread & Roses Integrated Arts High School,310500011685,DOE,General Academic,High school,"10,12,SE","09,10,11,12",1997-04-29T00:00:00.000,Closed,M136,6 EDGECOMBE AVENUE,NY,998878.0,237020.0,-73.947151,40.817228,110.0,9.0,22102.0,1019600001.0,MN03,Central Harlem North-Polo Grounds,Kairis Cox,I.A. PRINCIPAL,212-694-6001,212-926-4317,5,5,,,,,,HS07,H.S. Network 07 Superintendent Office,"CONYERS, DONALD",110.0,32.0,0.053565324718553846,3426,0.1182631994798989,135TH STREET DELI AND GROCERY CORP,Manhattan
507,Total Cohort,05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,2002,85,1,1.2,1,1.2,100.0,1,1.2,100.0,0,0.0,0.0,0,0.0,0.0,1,1.2,1,1.2,2006,2020,05M692,M692,"High School for Mathematics, Science and Engineeri",310500011692,DOE,General Academic,High school,"09,10,11,12","09,10,11,12",2002-07-01T00:00:00.000,Open,M812,240 CONVENT AVE,NY,997991.0,238105.0,-73.950354,40.820208,109.0,9.0,21703.0,1019570200.0,MN06,Manhattanville,Crystal Bonds,Principal,212-281-6490,212-281-6918,6,5,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",109.0,26.0,0.14239378824787702,2044,0.2660840024232497,141 FINEST DELI CORP,Manhattan
508,Total Cohort,05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,2003,80,80,100.0,80,100.0,100.0,66,82.5,82.5,14,17.5,17.5,0,0.0,0.0,0,0.0,0,0.0,2007,2020,05M692,M692,"High School for Mathematics, Science and Engineeri",310500011692,DOE,General Academic,High school,"09,10,11,12","09,10,11,12",2002-07-01T00:00:00.000,Open,M812,240 CONVENT AVE,NY,997991.0,238105.0,-73.950354,40.820208,109.0,9.0,21703.0,1019570200.0,MN06,Manhattanville,Crystal Bonds,Principal,212-281-6490,212-281-6918,6,5,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",109.0,26.0,0.14239378824787702,2044,0.2660840024232497,141 FINEST DELI CORP,Manhattan
509,Total Cohort,05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,2004,118,116,98.3,116,98.3,100.0,102,86.4,87.9,14,11.9,12.1,0,0.0,0.0,2,1.7,0,0.0,2008,2020,05M692,M692,"High School for Mathematics, Science and Engineeri",310500011692,DOE,General Academic,High school,"09,10,11,12","09,10,11,12",2002-07-01T00:00:00.000,Open,M812,240 CONVENT AVE,NY,997991.0,238105.0,-73.950354,40.820208,109.0,9.0,21703.0,1019570200.0,MN06,Manhattanville,Crystal Bonds,Principal,212-281-6490,212-281-6918,6,5,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",109.0,26.0,0.14239378824787702,2044,0.2660840024232497,141 FINEST DELI CORP,Manhattan
510,Total Cohort,05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,2005,108,107,99.1,107,99.1,100.0,102,94.4,95.3,5,4.6,4.7,0,0.0,0.0,0,0.0,1,0.9,2009,2020,05M692,M692,"High School for Mathematics, Science and Engineeri",310500011692,DOE,General Academic,High school,"09,10,11,12","09,10,11,12",2002-07-01T00:00:00.000,Open,M812,240 CONVENT AVE,NY,997991.0,238105.0,-73.950354,40.820208,109.0,9.0,21703.0,1019570200.0,MN06,Manhattanville,Crystal Bonds,Principal,212-281-6490,212-281-6918,6,5,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",109.0,26.0,0.14239378824787702,2044,0.2660840024232497,141 FINEST DELI CORP,Manhattan
511,Total Cohort,05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,2006,106,101,95.3,101,95.3,100.0,93,87.7,92.1,8,7.5,7.9,0,0.0,0.0,5,4.7,0,0.0,2010,2020,05M692,M692,"High School for Mathematics, Science and Engineeri",310500011692,DOE,General Academic,High school,"09,10,11,12","09,10,11,12",2002-07-01T00:00:00.000,Open,M812,240 CONVENT AVE,NY,997991.0,238105.0,-73.950354,40.820208,109.0,9.0,21703.0,1019570200.0,MN06,Manhattanville,Crystal Bonds,Principal,212-281-6490,212-281-6918,6,5,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",109.0,26.0,0.14239378824787702,2044,0.2660840024232497,141 FINEST DELI CORP,Manhattan
512,Total Cohort,06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,2001,135,93,68.9,3,2.2,3.2,0,0.0,0.0,3,2.2,3.2,90,66.7,96.8,24,17.8,14,10.4,2005,2020,06M462,M462,The College Academy,310600011462,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-05-11T00:00:00.000,Open,M465,549 AUDUBON AVENUE,NY,1004704.0,251344.0,-73.92605999999999,40.856532,112.0,10.0,27700.0,1021600018.0,MN35,Washington Heights North,Timothy Sigerson,Principal,212-927-1841,212-927-2388,6,6,COMMUNITY SCHOOL DISTRICT 06,"RAMIREZ, MANUEL",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,,,,112.0,34.0,0.14840649808781803,418,0.5575320761217927,PUNAL GROCERY CORP,Manhattan
513,Total Cohort,06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,2002,49,20,40.8,13,26.5,65.0,0,0.0,0.0,13,26.5,65.0,7,14.3,35.0,19,38.8,6,12.2,2006,2020,06M462,M462,The College Academy,310600011462,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-05-11T00:00:00.000,Open,M465,549 AUDUBON AVENUE,NY,1004704.0,251344.0,-73.92605999999999,40.856532,112.0,10.0,27700.0,1021600018.0,MN35,Washington Heights North,Timothy Sigerson,Principal,212-927-1841,212-927-2388,6,6,COMMUNITY SCHOOL DISTRICT 06,"RAMIREZ, MANUEL",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,,,,112.0,34.0,0.14840649808781803,418,0.5575320761217927,PUNAL GROCERY CORP,Manhattan
514,Total Cohort,06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,2003,146,102,69.9,61,41.8,59.8,7,4.8,6.9,54,37.0,52.9,41,28.1,40.2,24,16.4,15,10.3,2007,2020,06M462,M462,The College Academy,310600011462,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-05-11T00:00:00.000,Open,M465,549 AUDUBON AVENUE,NY,1004704.0,251344.0,-73.92605999999999,40.856532,112.0,10.0,27700.0,1021600018.0,MN35,Washington Heights North,Timothy Sigerson,Principal,212-927-1841,212-927-2388,6,6,COMMUNITY SCHOOL DISTRICT 06,"RAMIREZ, MANUEL",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,,,,112.0,34.0,0.14840649808781803,418,0.5575320761217927,PUNAL GROCERY CORP,Manhattan
515,Total Cohort,06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,2004,152,107,70.40000000000002,69,45.4,64.5,12,7.9,11.2,57,37.5,53.3,38,25.0,35.5,16,10.5,13,8.6,2008,2020,06M462,M462,The College Academy,310600011462,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-05-11T00:00:00.000,Open,M465,549 AUDUBON AVENUE,NY,1004704.0,251344.0,-73.92605999999999,40.856532,112.0,10.0,27700.0,1021600018.0,MN35,Washington Heights North,Timothy Sigerson,Principal,212-927-1841,212-927-2388,6,6,COMMUNITY SCHOOL DISTRICT 06,"RAMIREZ, MANUEL",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,,,,112.0,34.0,0.14840649808781803,418,0.5575320761217927,PUNAL GROCERY CORP,Manhattan
516,Total Cohort,06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,2005,152,116,76.3,81,53.3,69.8,5,3.3,4.3,76,50.0,65.5,35,23.0,30.2,18,11.8,11,7.2,2009,2020,06M462,M462,The College Academy,310600011462,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-05-11T00:00:00.000,Open,M465,549 AUDUBON AVENUE,NY,1004704.0,251344.0,-73.92605999999999,40.856532,112.0,10.0,27700.0,1021600018.0,MN35,Washington Heights North,Timothy Sigerson,Principal,212-927-1841,212-927-2388,6,6,COMMUNITY SCHOOL DISTRICT 06,"RAMIREZ, MANUEL",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,,,,112.0,34.0,0.14840649808781803,418,0.5575320761217927,PUNAL GROCERY CORP,Manhattan
517,Total Cohort,06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,2006,185,137,74.09999999999998,101,54.6,73.7,10,5.4,7.3,91,49.2,66.4,36,19.5,26.3,18,9.7,17,9.2,2010,2020,06M462,M462,The College Academy,310600011462,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-05-11T00:00:00.000,Open,M465,549 AUDUBON AVENUE,NY,1004704.0,251344.0,-73.92605999999999,40.856532,112.0,10.0,27700.0,1021600018.0,MN35,Washington Heights North,Timothy Sigerson,Principal,212-927-1841,212-927-2388,6,6,COMMUNITY SCHOOL DISTRICT 06,"RAMIREZ, MANUEL",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,,,,112.0,34.0,0.14840649808781803,418,0.5575320761217927,PUNAL GROCERY CORP,Manhattan
518,Total Cohort,06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,2001,142,95,66.9,58,40.8,61.1,1,0.7,1.1,57,40.1,60.0,37,26.1,38.9,31,21.8,13,9.2,2005,2020,06M463,M463,High School for Media and Communications,310600011463,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-05-11T00:00:00.000,Open,M465,549 AUDUBON AVENUE,NY,1004704.0,251344.0,-73.92605999999999,40.856532,112.0,10.0,27700.0,1021600018.0,MN35,Washington Heights North,JUAN VILLAR,Principal,212-927-1841,212-927-2326,6,6,COMMUNITY SCHOOL DISTRICT 06,"RAMIREZ, MANUEL",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,,,,112.0,34.0,0.14840649808781803,418,0.5575320761217927,PUNAL GROCERY CORP,Manhattan
519,Total Cohort,06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,2002,116,70,60.3,50,43.1,71.40000000000002,0,0.0,0.0,50,43.1,71.40000000000002,20,17.2,28.6,30,25.9,11,9.5,2006,2020,06M463,M463,High School for Media and Communications,310600011463,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-05-11T00:00:00.000,Open,M465,549 AUDUBON AVENUE,NY,1004704.0,251344.0,-73.92605999999999,40.856532,112.0,10.0,27700.0,1021600018.0,MN35,Washington Heights North,JUAN VILLAR,Principal,212-927-1841,212-927-2326,6,6,COMMUNITY SCHOOL DISTRICT 06,"RAMIREZ, MANUEL",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,,,,112.0,34.0,0.14840649808781803,418,0.5575320761217927,PUNAL GROCERY CORP,Manhattan
520,Total Cohort,06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,2003,134,81,60.4,47,35.1,58.0,5,3.7,6.2,42,31.3,51.9,34,25.4,42.0,31,23.1,20,14.9,2007,2020,06M463,M463,High School for Media and Communications,310600011463,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-05-11T00:00:00.000,Open,M465,549 AUDUBON AVENUE,NY,1004704.0,251344.0,-73.92605999999999,40.856532,112.0,10.0,27700.0,1021600018.0,MN35,Washington Heights North,JUAN VILLAR,Principal,212-927-1841,212-927-2326,6,6,COMMUNITY SCHOOL DISTRICT 06,"RAMIREZ, MANUEL",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,,,,112.0,34.0,0.14840649808781803,418,0.5575320761217927,PUNAL GROCERY CORP,Manhattan
521,Total Cohort,06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,2004,108,70,64.8,42,38.9,60.0,7,6.5,10.0,35,32.4,50.0,28,25.9,40.0,25,23.1,11,10.2,2008,2020,06M463,M463,High School for Media and Communications,310600011463,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-05-11T00:00:00.000,Open,M465,549 AUDUBON AVENUE,NY,1004704.0,251344.0,-73.92605999999999,40.856532,112.0,10.0,27700.0,1021600018.0,MN35,Washington Heights North,JUAN VILLAR,Principal,212-927-1841,212-927-2326,6,6,COMMUNITY SCHOOL DISTRICT 06,"RAMIREZ, MANUEL",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,,,,112.0,34.0,0.14840649808781803,418,0.5575320761217927,PUNAL GROCERY CORP,Manhattan
522,Total Cohort,06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,2005,148,84,56.8,48,32.4,57.1,8,5.4,9.5,40,27.0,47.6,35,23.6,41.7,43,29.1,13,8.800000000000002,2009,2020,06M463,M463,High School for Media and Communications,310600011463,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-05-11T00:00:00.000,Open,M465,549 AUDUBON AVENUE,NY,1004704.0,251344.0,-73.92605999999999,40.856532,112.0,10.0,27700.0,1021600018.0,MN35,Washington Heights North,JUAN VILLAR,Principal,212-927-1841,212-927-2326,6,6,COMMUNITY SCHOOL DISTRICT 06,"RAMIREZ, MANUEL",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,,,,112.0,34.0,0.14840649808781803,418,0.5575320761217927,PUNAL GROCERY CORP,Manhattan
523,Total Cohort,06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,2006,161,101,62.7,80,49.7,79.2,17,10.6,16.8,63,39.1,62.4,21,13.0,20.8,37,23.0,20,12.4,2010,2020,06M463,M463,High School for Media and Communications,310600011463,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-05-11T00:00:00.000,Open,M465,549 AUDUBON AVENUE,NY,1004704.0,251344.0,-73.92605999999999,40.856532,112.0,10.0,27700.0,1021600018.0,MN35,Washington Heights North,JUAN VILLAR,Principal,212-927-1841,212-927-2326,6,6,COMMUNITY SCHOOL DISTRICT 06,"RAMIREZ, MANUEL",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,,,,112.0,34.0,0.14840649808781803,418,0.5575320761217927,PUNAL GROCERY CORP,Manhattan
524,Total Cohort,06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,2001,162,113,69.8,67,41.4,59.3,4,2.5,3.5,63,38.9,55.8,46,28.4,40.7,30,18.5,17,10.5,2005,2020,06M467,M467,High School for Law and Public Service,310600011467,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-05-11T00:00:00.000,Open,M465,549 AUDUBON AVENUE,NY,1004704.0,251344.0,-73.92605999999999,40.856532,112.0,10.0,27700.0,1021600018.0,MN35,Washington Heights North,NICHOLAS POLITIS,Principal,212-342-6130,212-342-6116,6,6,COMMUNITY SCHOOL DISTRICT 06,"RAMIREZ, MANUEL",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,,,,112.0,34.0,0.14840649808781803,418,0.5575320761217927,PUNAL GROCERY CORP,Manhattan
525,Total Cohort,06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,2002,136,88,64.7,42,30.9,47.7,4,2.9,4.5,38,27.9,43.2,46,33.8,52.3,37,27.2,11,8.1,2006,2020,06M467,M467,High School for Law and Public Service,310600011467,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-05-11T00:00:00.000,Open,M465,549 AUDUBON AVENUE,NY,1004704.0,251344.0,-73.92605999999999,40.856532,112.0,10.0,27700.0,1021600018.0,MN35,Washington Heights North,NICHOLAS POLITIS,Principal,212-342-6130,212-342-6116,6,6,COMMUNITY SCHOOL DISTRICT 06,"RAMIREZ, MANUEL",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,,,,112.0,34.0,0.14840649808781803,418,0.5575320761217927,PUNAL GROCERY CORP,Manhattan
526,Total Cohort,06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,2003,132,93,70.5,59,44.7,63.4,1,0.8,1.1,58,43.9,62.4,34,25.8,36.6,16,12.1,21,15.9,2007,2020,06M467,M467,High School for Law and Public Service,310600011467,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-05-11T00:00:00.000,Open,M465,549 AUDUBON AVENUE,NY,1004704.0,251344.0,-73.92605999999999,40.856532,112.0,10.0,27700.0,1021600018.0,MN35,Washington Heights North,NICHOLAS POLITIS,Principal,212-342-6130,212-342-6116,6,6,COMMUNITY SCHOOL DISTRICT 06,"RAMIREZ, MANUEL",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,,,,112.0,34.0,0.14840649808781803,418,0.5575320761217927,PUNAL GROCERY CORP,Manhattan
527,Total Cohort,06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,2004,110,78,70.90000000000002,52,47.3,66.7,8,7.3,10.3,44,40.0,56.4,26,23.6,33.3,17,15.5,10,9.1,2008,2020,06M467,M467,High School for Law and Public Service,310600011467,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-05-11T00:00:00.000,Open,M465,549 AUDUBON AVENUE,NY,1004704.0,251344.0,-73.92605999999999,40.856532,112.0,10.0,27700.0,1021600018.0,MN35,Washington Heights North,NICHOLAS POLITIS,Principal,212-342-6130,212-342-6116,6,6,COMMUNITY SCHOOL DISTRICT 06,"RAMIREZ, MANUEL",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,,,,112.0,34.0,0.14840649808781803,418,0.5575320761217927,PUNAL GROCERY CORP,Manhattan
528,Total Cohort,06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,2005,150,112,74.7,82,54.7,73.2,17,11.3,15.2,65,43.3,58.0,30,20.0,26.8,32,21.3,2,1.3,2009,2020,06M467,M467,High School for Law and Public Service,310600011467,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-05-11T00:00:00.000,Open,M465,549 AUDUBON AVENUE,NY,1004704.0,251344.0,-73.92605999999999,40.856532,112.0,10.0,27700.0,1021600018.0,MN35,Washington Heights North,NICHOLAS POLITIS,Principal,212-342-6130,212-342-6116,6,6,COMMUNITY SCHOOL DISTRICT 06,"RAMIREZ, MANUEL",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,,,,112.0,34.0,0.14840649808781803,418,0.5575320761217927,PUNAL GROCERY CORP,Manhattan
529,Total Cohort,06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,2006,171,122,71.3,97,56.7,79.5,16,9.4,13.1,81,47.4,66.4,25,14.6,20.5,22,12.9,16,9.4,2010,2020,06M467,M467,High School for Law and Public Service,310600011467,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-05-11T00:00:00.000,Open,M465,549 AUDUBON AVENUE,NY,1004704.0,251344.0,-73.92605999999999,40.856532,112.0,10.0,27700.0,1021600018.0,MN35,Washington Heights North,NICHOLAS POLITIS,Principal,212-342-6130,212-342-6116,6,6,COMMUNITY SCHOOL DISTRICT 06,"RAMIREZ, MANUEL",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,,,,112.0,34.0,0.14840649808781803,418,0.5575320761217927,PUNAL GROCERY CORP,Manhattan
